idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-4.322227926282141,-5.798361975989967,-1.0656739075221004,0.9998116142577896,0.010055101439717171,0.0011593875591306769,-0.016561604715651428
0,456,1.0578398677879228,1.6853152593567309,-0.13331808903904552,-0.5446674315039295,0.0017986876817005025,-0.007168211854717546,0.8386195624479207
645,189,-0.5376915938235833,4.375633408468653,-0.06327131710392853,0.7660043158760824,0.0002261475109733651,0.004193544926614703,0.642821710194566
2,458,-5.991989691172034,-2.671181738560392,-0.12631956286517365,0.8914163308105213,-0.00966472458968917,-0.002094426781035308,-0.45307740137792296
189,270,-7.5079522799649165,-2.3288484757167507,0.011071858732077278,-0.03602417502916387,-0.010929952972049075,0.0154676960259587,0.9991714293959498
646,189,-0.1808561806653295,3.565925684611961,-0.04722209584340131,0.7515849489384009,0.010465425366519357,-0.005283899279838332,-0.6595321218936646
3,273,3.6602926734941166,-9.392979688323994,0.032137639792759076,0.9594730085017443,-0.005149061212746379,0.00046035734717511277,0.2817531210055218
189,273,14.011234476999103,-1.1062022371715434,0.28896633442280106,0.7044944468215729,-0.020608829864795383,-0.0053081981069457215,0.7093903534458494
273,458,0.8958113010861841,10.714657718652028,0.04049817740828332,0.996596845629048,-0.0006452255836116442,-0.0023075888582980023,0.08239530326322465
647,635,2.1089785606523463,-1.4667193647220271,-5.856120471623292,0.9519175197938632,-0.11514609765043016,0.0778041831487598,-0.27302183207562747
179,192,-7.8513060853930625,1.016587213222406,-0.4889984207944579,0.9984678706532885,-0.04657226760607399,0.029574178635029546,-0.004278214718759666
191,635,-7.286747500355531,1.149663041618518,-1.0535442609218184,0.005602468110528162,0.00028731329732128996,0.9999268628267868,0.010714420167248093
459,635,5.965980874123471,-11.783235406870112,-0.06503086324837831,7.000250899641406e-06,0.00011968924244298943,0.0009089112807896965,0.9999995797527944
648,461,3.0350546088358334,7.863092411134325,0.09042404447355268,-0.5083796113052814,-0.016224470130376645,-0.01659654363477234,0.8608202437892934
191,274,-7.707994413912967,3.775570043739359,0.19831284254111148,0.920457929110845,0.020015595881822345,0.02170314019287214,-0.389724967591555
649,178,2.49951661763184,2.558466383527003,-0.3285595843766913,-0.4373831174100323,0.018759385698395296,0.04019557907592449,0.8981806107212802
6,178,-4.074968134049862,1.83337250291459,-0.3250283789115094,0.9952111279362107,0.024667970461129837,-0.03268344087886943,-0.08875863201729571
7,178,-1.2493950303988632,4.187132524764141,-0.10568743890820485,-0.008189423177249659,-0.0025559841471038953,0.9998968581719296,-0.01151839012048554
177,274,-8.310568467438038,-1.5240678773158776,0.3720904784332152,-0.00038798435342113347,0.00851570217217726,0.0038043585485923797,0.9999564286211124
192,446,-5.300587703640446,1.242496766771012,-0.24516991210953615,0.5407008914292155,-0.015563746410456207,0.0020284294356786034,0.8410684878648986
